PremiseId,Occupier ID,Name,BusinessType,SubCategory,Category,Guardian-sector,Classification,PostCode,Town,Latitude,Longitude,CreatedDate,ClosedDate,Selected Town,Pre-lockdown,Lockdown,Post Lockdown,FrLastVerifiedDate,OrLastVerifiedDate
52997086,13728634,Greggs,Multiple,Bakers Shops,Bakers,Other,Convenience,M33 7TY,Sale,53.42099,-2.32994,3/4/2020,,Sale,Open,,Open,6/4/2020,6/4/2020
52302243,13735026,Eastway Convenience Store,Multiple,Convenience Stores,"Groceries, Supermarkets & Food Shops","Groceries, supermarkets & food shops",Convenience,M33 4DX,Sale,53.41101,-2.34008,5/6/2020,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52810939,13043580,Howarth Timber & Building Supplies,Multiple,Builders' Merchants,"DIY, Hardware, Builder's Merchants & Household Goods",Other,Comparison,M33 6LB,Sale,53.43163,-2.32083,27/1/2015,,Sale,Open,Open,Open,21/7/2020,24/7/2020
52814907,13063134,The Belmore,Multiple,Public Houses & Inns,"Bars, Pubs & Clubs","Bars, pubs & clubs",Leisure,M33 3QN,Sale,53.41232,-2.3197,24/3/2015,,Sale,Open,,Open,22/7/2020,24/7/2020
50530902,13063824,The Bridge Inn,Multiple,Public Houses & Inns,"Bars, Pubs & Clubs","Bars, pubs & clubs",Leisure,M33 7QH,Sale,53.430779,-2.314053,26/3/2015,,Sale,Open,,Open,22/7/2020,24/7/2020
52678729,12961453,Nisa Local,Multiple,Convenience Stores,"Groceries, Supermarkets & Food Shops","Groceries, supermarkets & food shops",Convenience,M33 2UP,Sale,53.41489,-2.29836,6/5/2014,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52410705,12978869,Butterfly Hair Boutique,Independent,Hairdressers,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 7TY,Sale,53.4211,-2.329842,7/7/2014,,Sale,Open,,Open,22/7/2020,24/7/2020
52376896,12978875,Martin Leah Flooring,Independent,Floorcoverings,"Furniture, Carpets, Textiles, Bathrooms & Kitchens",Household items,Comparison,M33 3AB,Sale,53.423473,-2.318605,7/7/2014,,Sale,Open,,Open,21/7/2020,24/7/2020
50785279,12978883,Vida,Independent,Restaurant & Bar,Restaurants,"Restaurants, cafes & fast food",Leisure,M33 7XY,Sale,53.42433,-2.31824,7/7/2014,,Sale,Open,,Open,21/7/2020,24/7/2020
52682101,12979304,Direct Mortgages,Independent,Mortgage Companies & Advisors,"Banks, Financial Services & Building Societies",Other,Service,M33 7XB,Sale,53.42528,-2.32238,8/7/2014,,Sale,Open,,Open,21/7/2020,24/7/2020
52682109,12979318,Bridgfords,Multiple,Estate Agents,Estate Agents & Auctioneers,Other,Service,M33 7XA,Sale,53.4252,-2.32327,8/7/2014,,Sale,Open,,Open,21/7/2020,24/7/2020
50785165,12979333,Sports Direct Fitness,Multiple,Health Clubs,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 7QY,Sale,53.425335,-2.326127,7/7/2014,,Sale,Open,,,21/7/2020,24/7/2020
50621065,13603756,Ramsdens,Multiple,Pawnbrokers,Pawnbroking & Cheque Cashing,Other,Service,M33 7XB,Sale,53.42528,-2.32238,19/6/2019,,Sale,Open,,Open,21/7/2020,24/7/2020
52820822,13603762,Lectrix,Independent,Electricians,Household & Home,Other,Service,M33 7JN,Sale,53.4292,-2.32135,19/6/2019,,Sale,Open,Open,Open,21/7/2020,24/7/2020
50785060,13603771,M33 Deli,Independent,Fast Food Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 2DH,Sale,53.42397,-2.3165,19/6/2019,,Sale,Open,,Open,21/7/2020,24/7/2020
52384727,13603776,Boss Xtensions,Independent,Hairpieces & Wigs,"Chemists, Toiletries & Health",Other,Comparison,M33 7XN,Sale,53.424624,-2.323127,19/6/2019,,Sale,Open,,Open,21/7/2020,24/7/2020
52222751,13603779,Safah's,Independent,Indian Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 7QY,Sale,53.42538,-2.32555,19/6/2019,24/7/2020,Sale,Open,,,22/7/2020,24/7/2020
52123030,13603780,Indigo Sun,Multiple,Tanning Shops,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 7AD,Sale,53.425184,-2.325464,19/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52885946,13603785,Saarah,Independent,Restaurant - Indian,Restaurants,"Restaurants, cafes & fast food",Leisure,M33 5PP,Sale,53.42978,-2.34208,19/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52885913,13603788,Ken's Kitchen,Independent,Chinese Fast Food Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 3SQ,Sale,53.41678,-2.32488,19/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52659821,13603794,Sayers,Multiple,Bakers Shops,Bakers,Other,Convenience,M33 5PP,Sale,53.42966,-2.34203,19/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52959256,13604389,Wilde & Sons Flooring Showroom,Independent,Floorcoverings,"Furniture, Carpets, Textiles, Bathrooms & Kitchens",Household items,Comparison,M33 4DX,Sale,53.41106,-2.34031,24/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
52959259,13604392,George Hill Timber & Building Supplies,Independent,Builders' Merchants,"DIY, Hardware, Builder's Merchants & Household Goods",Other,Comparison,M33 6LB,Sale,53.43163,-2.32083,24/6/2019,,Sale,Open,Open,Open,21/7/2020,24/7/2020
52959496,13605820,MPS,Independent,Printers,"Books, Arts & Crafts, Stationery, Printers",Other,Comparison,M33 6LB,Sale,53.43154,-2.32033,28/6/2019,,Sale,Open,,Open,21/7/2020,24/7/2020
52959497,13605821,DCO Dental Group,Independent,Dentists,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3ND,Sale,53.41761,-2.32118,28/6/2019,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52959504,13605832,Mai's Pharmacy,Independent,Chemists / Toiletries,"Chemists, Toiletries & Health",Other,Comparison,M33 3JS,Sale,53.41342,-2.30855,28/6/2019,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52959509,13605838,Nasa's Gents Barbers Shop,Independent,Barbers,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3JS,Sale,53.41339,-2.30839,28/6/2019,,Sale,Open,,Open,22/7/2020,24/7/2020
