PremiseId,Occupier ID,Name,BusinessType,SubCategory,Category,Classification,PostCode,Town,Latitude,Longitude,CreatedDate,ClosedDate,Selected Town,Pre-lockdown,Lockdown,Post Lockdown,FrLastVerifiedDate,OrLastVerifiedDate
52177374,13532027,Manahatta,Multiple,Bars,"Bars, Pubs & Clubs",Leisure,M3 3ND,Manchester,53.4788,-2.24964,7/12/2018,,Spinningfield,Open,,Open,10/7/2020,14/7/2020
52539411,13532113,The Co-operative Food,Multiple,Convenience Stores,"Groceries, Supermarkets & Food Shops",Convenience,M3 3BZ,Manchester,53.48117,-2.25094,7/12/2018,,Spinningfield,Open,Open,Open,9/7/2020,14/7/2020
52939753,13533013,The Blowout,Independent,Hairdressers,"Hairdressing, Health & Beauty",Service,M3 3HP,Manchester,53.47883,-2.25138,10/12/2018,,Spinningfield,Open,,,11/7/2020,14/7/2020
52946452,13559510,Allied Irish Bank PLC,Multiple,Banks & Other Financial Institutions,"Banks, Financial Services & Building Societies",Service,M3 3HF,Manchester,53.47967,-2.25128,25/2/2019,,Spinningfield,Open,Open,Open,9/7/2020,14/7/2020
52691251,13024772,Fazenda Rodizio Bar & Grill,Multiple,Restaurant - Brazilian,Restaurants,Leisure,M3 3AP,Manchester,53.48,-2.24923,7/11/2014,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52539441,13025474,Iberica Restaurants,Multiple,Restaurant - Spanish,Restaurants,Leisure,M3 3HF,Manchester,53.47948,-2.25119,25/11/2014,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
50520661,13129340,Salvation Hair,Independent,Hairdressers,"Hairdressing, Health & Beauty",Service,M3 2RJ,Manchester,53.48085,-2.24886,28/10/2015,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52831200,13149289,Comptoir Libanais,Multiple,Restaurant - Lebanese,Restaurants,Leisure,M3 3HF,Manchester,53.47956,-2.25007,24/12/2015,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52539413,13608829,Albatross & Arnold,Independent,Restaurant - British,Restaurants,Leisure,M3 3AD,Manchester,53.480822,-2.254434,5/7/2019,14/7/2020,Spinningfield,Open,,,9/7/2020,21/7/2020
52569056,13608830,Banyan,Multiple,Bars,"Bars, Pubs & Clubs",Leisure,M3 3PL,Manchester,53.479564,-2.250075,5/7/2019,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52960363,13610259,Honest Burgers,Multiple,Restaurant - American,Restaurants,Leisure,M3 3BT,Manchester,53.48181,-2.24992,15/7/2019,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52342549,13610261,Bridge Street Studios,Independent,Cafe & Tearoom,Cafes & Fast Food,Leisure,M3 3BW,Manchester,53.48093,-2.24929,15/7/2019,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52961016,13611925,Dermaskin,Independent,Cosmetic Surgery,"Hairdressing, Health & Beauty",Service,M3 3EJ,Manchester,53.47904,-2.2533,17/7/2019,,Spinningfield,Open,,,11/7/2020,14/7/2020
52342628,13747450,Rosa's Thai Cafe,Multiple,Restaurant - Thai,Restaurants,Leisure,M3 3WB,Manchester,53.47922,-2.2493,14/7/2020,,Spinningfield,Open,,Open,13/7/2020,14/7/2020
50493744,10493744,NatWest,Multiple,Banks & Other Financial Institutions,"Banks, Financial Services & Building Societies",Service,M3 3LY,Manchester,53.47929,-2.2492,6/2/2007,,Spinningfield,Open,Open,,9/7/2020,14/7/2020
50082319,13691810,Enriqueta's,Independent,Cafe & Tearoom,Cafes & Fast Food,Leisure,M3 3EH,Manchester,53.48027,-2.24856,17/1/2020,,Spinningfield,Open,,,10/7/2020,14/7/2020
50698057,13691836,Bill's,Multiple,Restaurant - British,Restaurants,Leisure,M3 3AB,Manchester,53.48011,-2.25065,17/1/2020,,Spinningfield,Open,,,9/7/2020,14/7/2020
52648319,13691847,BLVD,Independent,Restaurant & Bar,Restaurants,Leisure,M3 3FL,Manchester,53.48013,-2.252216,17/1/2020,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52342784,12829199,Doherty Evans & Stott,Independent,Tailors,Fashion & General Clothing,Comparison,M3 2RJ,Manchester,53.480801,-2.248586,8/4/2013,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52648306,12830524,The Gas Lamp,Independent,Bars,"Bars, Pubs & Clubs",Leisure,M3 3BW,Manchester,53.480846,-2.249478,11/4/2013,,Spinningfield,Open,,,9/7/2020,14/7/2020
52532706,12532706,Fix 2 Fit Tailors,Independent,Tailors,Fashion & General Clothing,Comparison,M3 2RJ,Manchester,53.48078,-2.24833,19/2/2011,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52623439,12539467,T.M. Lewin,Multiple,Shirt Makers,Fashion & General Clothing,Comparison,M3 3HF,Manchester,53.47986,-2.250783,3/3/2011,,Spinningfield,Open,,,9/7/2020,14/7/2020
52178048,13189026,Itsu,Multiple,Take Away Food Shops,Cafes & Fast Food,Leisure,M3 3AQ,Manchester,53.48032,-2.25353,6/5/2016,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52342922,13189032,Nudo Sushi Box,Multiple,Restaurant - Japanese,Restaurants,Leisure,M3 3PL,Manchester,53.479476,-2.251187,6/5/2016,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52876150,13316981,Nomad Travel Store & Clinic,Multiple,Camping Goods & Outdoor Wear,"Sports, Toys, Cycle Shops & Hobbies",Comparison,M3 2RJ,Manchester,53.48078,-2.24858,10/5/2017,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52623417,13456983,Australasia,Multiple,Restaurant - Oceanic,Restaurants,Leisure,M3 3AP,Manchester,53.47979,-2.249351,4/5/2018,,Spinningfield,Open,,,9/7/2020,14/7/2020
52922953,13458008,M&S Foodhall,Multiple,Supermarkets,"Groceries, Supermarkets & Food Shops",Convenience,M3 3HP,Manchester,53.47981,-2.25214,9/5/2018,,Spinningfield,Open,Open,,11/7/2020,29/7/2020
52939763,13533096,Pot Kettle Black,Independent,Cafe & Tearoom,Cafes & Fast Food,Leisure,M3 3HF,Manchester,53.47883,-2.25138,11/12/2018,14/7/2020,Spinningfield,Open,,,11/7/2020,14/7/2020
50505642,13747448,Pieminister,Multiple,Take Away Food Shops,Cafes & Fast Food,Leisure,M3 3NE,Manchester,53.47852,-2.24962,14/7/2020,,Spinningfield,Open,,Open,13/7/2020,14/7/2020
52539444,12690158,Flannels,Multiple,Fashion Shops,Fashion & General Clothing,Comparison,M3 3HA,Manchester,53.48034,-2.25142,1/2/2012,,Spinningfield,Open,,Open,9/7/2020,14/7/2020
52062870,13608713,Federal Cafe & Bar,Independent,Cafe & Tearoom,Cafes & Fast Food,Leisure,M3 3ND,Manchester,53.4788,-2.24964,5/7/2019,,Spinningfield,Open,,Open,10/7/2020,14/7/2020
52003279,13608725,Coutts & Co,Multiple,Banks & Other Financial Institutions,"Banks, Financial Services & Building Societies",Service,M3 3AQ,Manchester,53.48,-2.25041,5/7/2019,,Spinningfield,Open,Open,Open,9/7/2020,14/7/2020
